technique_id,technique_name,is_subtechnique,parent_technique_id,tactics_csv,platforms_csv
T1037,Boot or Logon Initialization Scripts,false,,"persistence,privilege-escalation","ESXi,Linux,Network Devices,Windows,macOS"
T1037.001,Logon Script (Windows),true,T1037,"persistence,privilege-escalation",Windows
T1037.002,Login Hook,true,T1037,"persistence,privilege-escalation",macOS
T1037.003,Network Logon Script,true,T1037,"persistence,privilege-escalation",Windows
T1037.004,RC Scripts,true,T1037,"persistence,privilege-escalation","ESXi,Linux,Network Devices,macOS"
T1037.005,Startup Items,true,T1037,"persistence,privilege-escalation",macOS
T1039,Data from Network Shared Drive,false,,collection,"Linux,Windows,macOS"
T1040,Network Sniffing,false,,"credential-access,discovery","IaaS,Linux,Network Devices,Windows,macOS"
T1041,Exfiltration Over C2 Channel,false,,exfiltration,"ESXi,Linux,Windows,macOS"
T1046,Network Service Discovery,false,,discovery,"Containers,IaaS,Linux,Network Devices,Windows,macOS"
T1047,Windows Management Instrumentation,false,,execution,Windows
T1048,Exfiltration Over Alternative Protocol,false,,exfiltration,"ESXi,IaaS,Linux,Network Devices,Office Suite,SaaS,Windows,macOS"
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,true,T1048,exfiltration,"ESXi,Linux,Windows,macOS"
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,true,T1048,exfiltration,"ESXi,Linux,Windows,macOS"
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,true,T1048,exfiltration,"ESXi,Linux,Network Devices,Windows,macOS"
T1049,System Network Connections Discovery,false,,discovery,"ESXi,IaaS,Linux,Network Devices,Windows,macOS"
T1052,Exfiltration Over Physical Medium,false,,exfiltration,"Linux,Windows,macOS"
T1052.001,Exfiltration over USB,true,T1052,exfiltration,"Linux,Windows,macOS"
T1053,Scheduled Task/Job,false,,"execution,persistence,privilege-escalation","Containers,ESXi,Linux,Windows,macOS"
T1053.002,At,true,T1053,"execution,persistence,privilege-escalation","Linux,Windows,macOS"
T1053.003,Cron,true,T1053,"execution,persistence,privilege-escalation","ESXi,Linux,macOS"
T1053.005,Scheduled Task,true,T1053,"execution,persistence,privilege-escalation",Windows
T1053.006,Systemd Timers,true,T1053,"execution,persistence,privilege-escalation",Linux
T1053.007,Container Orchestration Job,true,T1053,"execution,persistence,privilege-escalation",Containers
T1055,Process Injection,false,,"defense-evasion,privilege-escalation","Linux,Windows,macOS"
T1055.001,Dynamic-link Library Injection,true,T1055,"defense-evasion,privilege-escalation",Windows
T1055.002,Portable Executable Injection,true,T1055,"defense-evasion,privilege-escalation",Windows
T1055.003,Thread Execution Hijacking,true,T1055,"defense-evasion,privilege-escalation",Windows
T1055.004,Asynchronous Procedure Call,true,T1055,"defense-evasion,privilege-escalation",Windows
T1055.005,Thread Local Storage,true,T1055,"defense-evasion,privilege-escalation",Windows
T1055.008,Ptrace System Calls,true,T1055,"defense-evasion,privilege-escalation",Linux
T1055.009,Proc Memory,true,T1055,"defense-evasion,privilege-escalation",Linux
T1055.011,Extra Window Memory Injection,true,T1055,"defense-evasion,privilege-escalation",Windows
T1055.012,Process Hollowing,true,T1055,"defense-evasion,privilege-escalation",Windows
T1055.013,Process Doppelgänging,true,T1055,"defense-evasion,privilege-escalation",Windows
T1055.014,VDSO Hijacking,true,T1055,"defense-evasion,privilege-escalation",Linux
T1055.015,ListPlanting,true,T1055,"defense-evasion,privilege-escalation",Windows
T1056,Input Capture,false,,"collection,credential-access","Linux,Network Devices,Windows,macOS"
T1056.001,Keylogging,true,T1056,"collection,credential-access","Linux,Network Devices,Windows,macOS"
T1056.002,GUI Input Capture,true,T1056,"collection,credential-access","Linux,Windows,macOS"
T1056.003,Web Portal Capture,true,T1056,"collection,credential-access","Linux,Windows,macOS"
T1056.004,Credential API Hooking,true,T1056,"collection,credential-access","Linux,Windows,macOS"
T1057,Process Discovery,false,,discovery,"ESXi,Linux,Network Devices,Windows,macOS"
T1059,Command and Scripting Interpreter,false,,execution,"ESXi,IaaS,Identity Provider,Linux,Network Devices,Office Suite,Windows,macOS"
T1059.001,PowerShell,true,T1059,execution,Windows
T1059.002,AppleScript,true,T1059,execution,macOS
T1059.003,Windows Command Shell,true,T1059,execution,Windows
T1059.004,Unix Shell,true,T1059,execution,"ESXi,Linux,Network Devices,macOS"
T1059.005,Visual Basic,true,T1059,execution,"Linux,Windows,macOS"
T1059.006,Python,true,T1059,execution,"ESXi,Linux,Windows,macOS"
T1059.007,JavaScript,true,T1059,execution,"Linux,Windows,macOS"
T1059.008,Network Device CLI,true,T1059,execution,Network Devices
T1059.009,Cloud API,true,T1059,execution,"IaaS,Identity Provider,Office Suite,SaaS"
T1059.010,AutoHotKey & AutoIT,true,T1059,execution,Windows
T1059.011,Lua,true,T1059,execution,"Linux,Network Devices,Windows,macOS"
T1059.012,Hypervisor CLI,true,T1059,execution,ESXi
T1068,Exploitation for Privilege Escalation,false,,privilege-escalation,"Containers,Linux,Windows,macOS"
T1069,Permission Groups Discovery,false,,discovery,"Containers,IaaS,Identity Provider,Linux,Office Suite,SaaS,Windows,macOS"
T1069.001,Local Groups,true,T1069,discovery,"Linux,Windows,macOS"
T1069.002,Domain Groups,true,T1069,discovery,"Linux,Windows,macOS"
T1069.003,Cloud Groups,true,T1069,discovery,"IaaS,Identity Provider,Office Suite,SaaS"
T1070,Indicator Removal,false,,defense-evasion,"Containers,ESXi,Linux,Network Devices,Office Suite,Windows,macOS"
T1070.001,Clear Windows Event Logs,true,T1070,defense-evasion,Windows
T1070.002,Clear Linux or Mac System Logs,true,T1070,defense-evasion,"Linux,macOS"
T1070.003,Clear Command History,true,T1070,defense-evasion,"ESXi,Linux,Network Devices,Windows,macOS"
T1070.004,File Deletion,true,T1070,defense-evasion,"ESXi,Linux,Windows,macOS"
T1070.005,Network Share Connection Removal,true,T1070,defense-evasion,Windows
T1070.006,Timestomp,true,T1070,defense-evasion,"ESXi,Linux,Windows,macOS"
T1070.007,Clear Network Connection History and Configurations,true,T1070,defense-evasion,"Linux,Network Devices,Windows,macOS"
T1070.008,Clear Mailbox Data,true,T1070,defense-evasion,"Linux,Office Suite,Windows,macOS"
T1070.009,Clear Persistence,true,T1070,defense-evasion,"ESXi,Linux,Windows,macOS"
T1070.010,Relocate Malware,true,T1070,defense-evasion,"Linux,Network Devices,Windows,macOS"
T1071,Application Layer Protocol,false,,command-and-control,"ESXi,Linux,Network Devices,Windows,macOS"
T1071.001,Web Protocols,true,T1071,command-and-control,"ESXi,Linux,Network Devices,Windows,macOS"
T1071.002,File Transfer Protocols,true,T1071,command-and-control,"ESXi,Linux,Network Devices,Windows,macOS"
T1071.003,Mail Protocols,true,T1071,command-and-control,"Linux,Network Devices,Windows,macOS"
T1071.004,DNS,true,T1071,command-and-control,"ESXi,Linux,Network Devices,Windows,macOS"
T1071.005,Publish/Subscribe Protocols,true,T1071,command-and-control,"Linux,Network Devices,Windows,macOS"
T1072,Software Deployment Tools,false,,"execution,lateral-movement","Linux,Network Devices,SaaS,Windows,macOS"
T1074,Data Staged,false,,collection,"ESXi,IaaS,Linux,Windows,macOS"
T1074.001,Local Data Staging,true,T1074,collection,"ESXi,Linux,Windows,macOS"
T1074.002,Remote Data Staging,true,T1074,collection,"ESXi,IaaS,Linux,Windows,macOS"
T1078,Valid Accounts,false,,"defense-evasion,initial-access,persistence,privilege-escalation","Containers,ESXi,IaaS,Identity Provider,Linux,Network Devices,Office Suite,SaaS,Windows,macOS"
T1078.001,Default Accounts,true,T1078,"defense-evasion,initial-access,persistence,privilege-escalation","Containers,ESXi,IaaS,Identity Provider,Linux,Network Devices,Office Suite,SaaS,Windows,macOS"
T1078.002,Domain Accounts,true,T1078,"defense-evasion,initial-access,persistence,privilege-escalation","ESXi,Linux,Windows,macOS"
T1078.003,Local Accounts,true,T1078,"defense-evasion,initial-access,persistence,privilege-escalation","Containers,ESXi,Linux,Network Devices,Windows,macOS"
T1078.004,Cloud Accounts,true,T1078,"defense-evasion,initial-access,persistence,privilege-escalation","IaaS,Identity Provider,Office Suite,SaaS"
T1080,Taint Shared Content,false,,lateral-movement,"Linux,Office Suite,SaaS,Windows,macOS"
T1082,System Information Discovery,false,,discovery,"ESXi,IaaS,Linux,Network Devices,Windows,macOS"
T1083,File and Directory Discovery,false,,discovery,"ESXi,Linux,Network Devices,Windows,macOS"
T1087,Account Discovery,false,,discovery,"ESXi,IaaS,Identity Provider,Linux,Office Suite,SaaS,Windows,macOS"
T1087.001,Local Account,true,T1087,discovery,"ESXi,Linux,Windows,macOS"
T1087.002,Domain Account,true,T1087,discovery,"Linux,Windows,macOS"
T1087.003,Email Account,true,T1087,discovery,"Office Suite,Windows"
T1087.004,Cloud Account,true,T1087,discovery,"IaaS,Identity Provider,Office Suite,SaaS"
T1090,Proxy,false,,command-and-control,"ESXi,Linux,Network Devices,Windows,macOS"
T1090.001,Internal Proxy,true,T1090,command-and-control,"ESXi,Linux,Network Devices,Windows,macOS"
T1090.002,External Proxy,true,T1090,command-and-control,"ESXi,Linux,Network Devices,Windows,macOS"
T1090.003,Multi-hop Proxy,true,T1090,command-and-control,"ESXi,Linux,Network Devices,Windows,macOS"
T1090.004,Domain Fronting,true,T1090,command-and-control,"ESXi,Linux,Windows,macOS"
T1091,Replication Through Removable Media,false,,"initial-access,lateral-movement",Windows
T1092,Communication Through Removable Media,false,,command-and-control,"Linux,Windows,macOS"
T1095,Non-Application Layer Protocol,false,,command-and-control,"ESXi,Linux,Network Devices,Windows,macOS"
T1098,Account Manipulation,false,,"persistence,privilege-escalation","Containers,ESXi,IaaS,Identity Provider,Linux,Network Devices,Office Suite,SaaS,Windows,macOS"
T1098.001,Additional Cloud Credentials,true,T1098,"persistence,privilege-escalation","IaaS,Identity Provider,SaaS"
T1098.002,Additional Email Delegate Permissions,true,T1098,"persistence,privilege-escalation","Office Suite,Windows"
T1098.003,Additional Cloud Roles,true,T1098,"persistence,privilege-escalation","IaaS,Identity Provider,Office Suite,SaaS"
T1098.004,SSH Authorized Keys,true,T1098,"persistence,privilege-escalation","ESXi,IaaS,Linux,Network Devices,macOS"
T1098.005,Device Registration,true,T1098,"persistence,privilege-escalation","Identity Provider,Windows"
T1098.006,Additional Container Cluster Roles,true,T1098,"persistence,privilege-escalation",Containers
T1098.007,Additional Local or Domain Groups,true,T1098,"persistence,privilege-escalation","Linux,Windows,macOS"
T1102,Web Service,false,,command-and-control,"ESXi,Linux,Windows,macOS"
T1102.001,Dead Drop Resolver,true,T1102,command-and-control,"ESXi,Linux,Windows,macOS"
T1102.002,Bidirectional Communication,true,T1102,command-and-control,"ESXi,Linux,Windows,macOS"
T1102.003,One-Way Communication,true,T1102,command-and-control,"ESXi,Linux,Windows,macOS"
T1104,Multi-Stage Channels,false,,command-and-control,"ESXi,Linux,Windows,macOS"
T1105,Ingress Tool Transfer,false,,command-and-control,"ESXi,Linux,Network Devices,Windows,macOS"
T1106,Native API,false,,execution,"Linux,Windows,macOS"
T1110,Brute Force,false,,credential-access,"Containers,ESXi,IaaS,Identity Provider,Linux,Network Devices,Office Suite,SaaS,Windows,macOS"
T1110.001,Password Guessing,true,T1110,credential-access,"Containers,ESXi,IaaS,Identity Provider,Linux,Network Devices,Office Suite,SaaS,Windows,macOS"
T1110.002,Password Cracking,true,T1110,credential-access,"Identity Provider,Linux,Network Devices,Office Suite,Windows,macOS"
T1110.003,Password Spraying,true,T1110,credential-access,"Containers,ESXi,IaaS,Identity Provider,Linux,Network Devices,Office Suite,SaaS,Windows,macOS"
T1110.004,Credential Stuffing,true,T1110,credential-access,"Containers,ESXi,IaaS,Identity Provider,Linux,Network Devices,Office Suite,SaaS,Windows,macOS"
T1111,Multi-Factor Authentication Interception,false,,credential-access,"Linux,Windows,macOS"
T1112,Modify Registry,false,,"defense-evasion,persistence",Windows
T1113,Screen Capture,false,,collection,"Linux,Windows,macOS"
T1114,Email Collection,false,,collection,"Linux,Office Suite,Windows,macOS"
T1114.001,Local Email Collection,true,T1114,collection,Windows
T1114.002,Remote Email Collection,true,T1114,collection,"Office Suite,Windows"
T1114.003,Email Forwarding Rule,true,T1114,collection,"Linux,Office Suite,Windows,macOS"
T1115,Clipboard Data,false,,collection,"Linux,Windows,macOS"
T1119,Automated Collection,false,,collection,"IaaS,Linux,Office Suite,SaaS,Windows,macOS"
T1120,Peripheral Device Discovery,false,,discovery,"Linux,Windows,macOS"
T1123,Audio Capture,false,,collection,"Linux,Windows,macOS"
T1124,System Time Discovery,false,,discovery,"ESXi,Linux,Network Devices,Windows,macOS"
T1125,Video Capture,false,,collection,"Linux,Windows,macOS"
T1127,Trusted Developer Utilities Proxy Execution,false,,defense-evasion,Windows
T1127.001,MSBuild,true,T1127,defense-evasion,Windows
T1127.002,ClickOnce,true,T1127,defense-evasion,Windows
T1127.003,JamPlus,true,T1127,defense-evasion,Windows
T1129,Shared Modules,false,,execution,"Linux,Windows,macOS"
T1132,Data Encoding,false,,command-and-control,"ESXi,Linux,Windows,macOS"
T1132.001,Standard Encoding,true,T1132,command-and-control,"ESXi,Linux,Windows,macOS"
T1132.002,Non-Standard Encoding,true,T1132,command-and-control,"ESXi,Linux,Windows,macOS"
T1133,External Remote Services,false,,"initial-access,persistence","Containers,Linux,Windows,macOS"
T1134,Access Token Manipulation,false,,"defense-evasion,privilege-escalation",Windows
T1134.001,Token Impersonation/Theft,true,T1134,"defense-evasion,privilege-escalation",Windows
T1134.002,Create Process with Token,true,T1134,"defense-evasion,privilege-escalation",Windows
T1134.003,Make and Impersonate Token,true,T1134,"defense-evasion,privilege-escalation",Windows
T1134.004,Parent PID Spoofing,true,T1134,"defense-evasion,privilege-escalation",Windows
T1134.005,SID-History Injection,true,T1134,"defense-evasion,privilege-escalation",Windows
T1135,Network Share Discovery,false,,discovery,"Linux,Windows,macOS"
T1136,Create Account,false,,persistence,"Containers,ESXi,IaaS,Identity Provider,Linux,Network Devices,Office Suite,SaaS,Windows,macOS"
T1136.001,Local Account,true,T1136,persistence,"Containers,ESXi,Linux,Network Devices,Windows,macOS"
T1136.002,Domain Account,true,T1136,persistence,"Linux,Windows,macOS"
T1136.003,Cloud Account,true,T1136,persistence,"IaaS,Identity Provider,Office Suite,SaaS"
T1137,Office Application Startup,false,,persistence,"Office Suite,Windows"
T1137.001,Office Template Macros,true,T1137,persistence,"Office Suite,Windows"
T1137.002,Office Test,true,T1137,persistence,"Office Suite,Windows"
T1137.003,Outlook Forms,true,T1137,persistence,"Office Suite,Windows"
T1137.004,Outlook Home Page,true,T1137,persistence,"Office Suite,Windows"
T1137.005,Outlook Rules,true,T1137,persistence,"Office Suite,Windows"
T1137.006,Add-ins,true,T1137,persistence,"Office Suite,Windows"
T1140,Deobfuscate/Decode Files or Information,false,,defense-evasion,"ESXi,Linux,Windows,macOS"
T1176,Software Extensions,false,,persistence,"Linux,Windows,macOS"
T1176.001,Browser Extensions,true,T1176,persistence,"Linux,Windows,macOS"
T1176.002,IDE Extensions,true,T1176,persistence,"Linux,Windows,macOS"
T1185,Browser Session Hijacking,false,,collection,Windows
T1187,Forced Authentication,false,,credential-access,Windows
T1189,Drive-by Compromise,false,,initial-access,"Identity Provider,Linux,Windows,macOS"
T1190,Exploit Public-Facing Application,false,,initial-access,"Containers,ESXi,IaaS,Linux,Network Devices,Windows,macOS"
T1195,Supply Chain Compromise,false,,initial-access,"Linux,Windows,macOS"
T1195.001,Compromise Software Dependencies and Development Tools,true,T1195,initial-access,"Linux,Windows,macOS"
T1195.002,Compromise Software Supply Chain,true,T1195,initial-access,"Linux,Windows,macOS"
T1195.003,Compromise Hardware Supply Chain,true,T1195,initial-access,"Linux,Windows,macOS"
T1197,BITS Jobs,false,,"defense-evasion,persistence",Windows
T1199,Trusted Relationship,false,,initial-access,"IaaS,Identity Provider,Linux,Office Suite,SaaS,Windows,macOS"
T1200,Hardware Additions,false,,initial-access,"Linux,Windows,macOS"
T1201,Password Policy Discovery,false,,discovery,"IaaS,Identity Provider,Linux,Network Devices,Office Suite,SaaS,Windows,macOS"
T1202,Indirect Command Execution,false,,defense-evasion,Windows
T1203,Exploitation for Client Execution,false,,execution,"Linux,Windows,macOS"
T1204,User Execution,false,,execution,"Containers,IaaS,Linux,Windows,macOS"
T1204.001,Malicious Link,true,T1204,execution,"Linux,Windows,macOS"
T1204.002,Malicious File,true,T1204,execution,"Linux,Windows,macOS"
T1204.003,Malicious Image,true,T1204,execution,"Containers,IaaS"
T1204.004,Malicious Copy and Paste,true,T1204,execution,"Linux,Windows,macOS"
T1205,Traffic Signaling,false,,"command-and-control,defense-evasion,persistence","Linux,Network Devices,Windows,macOS"
T1205.001,Port Knocking,true,T1205,"command-and-control,defense-evasion,persistence","Linux,Network Devices,Windows,macOS"
T1205.002,Socket Filters,true,T1205,"command-and-control,defense-evasion,persistence","Linux,Windows,macOS"
T1207,Rogue Domain Controller,false,,defense-evasion,Windows
T1210,Exploitation of Remote Services,false,,lateral-movement,"ESXi,Linux,Windows,macOS"
T1211,Exploitation for Defense Evasion,false,,defense-evasion,"IaaS,Linux,SaaS,Windows,macOS"
T1212,Exploitation for Credential Access,false,,credential-access,"Identity Provider,Linux,Windows,macOS"
T1213,Data from Information Repositories,false,,collection,"IaaS,Linux,Office Suite,SaaS,Windows,macOS"
T1213.001,Confluence,true,T1213,collection,SaaS
T1213.002,Sharepoint,true,T1213,collection,"Office Suite,Windows"
T1213.003,Code Repositories,true,T1213,collection,SaaS
T1213.004,Customer Relationship Management Software,true,T1213,collection,SaaS
T1213.005,Messaging Applications,true,T1213,collection,"Office Suite,SaaS"
T1216,System Script Proxy Execution,false,,defense-evasion,Windows
T1216.001,PubPrn,true,T1216,defense-evasion,Windows
T1216.002,SyncAppvPublishingServer,true,T1216,defense-evasion,Windows
T1217,Browser Information Discovery,false,,discovery,"Linux,Windows,macOS"
T1218,System Binary Proxy Execution,false,,defense-evasion,"Linux,Windows,macOS"
T1218.001,Compiled HTML File,true,T1218,defense-evasion,Windows
T1218.002,Control Panel,true,T1218,defense-evasion,Windows
T1218.003,CMSTP,true,T1218,defense-evasion,Windows
T1218.004,InstallUtil,true,T1218,defense-evasion,Windows
T1218.005,Mshta,true,T1218,defense-evasion,Windows
T1218.007,Msiexec,true,T1218,defense-evasion,Windows
T1218.008,Odbcconf,true,T1218,defense-evasion,Windows
T1218.009,Regsvcs/Regasm,true,T1218,defense-evasion,Windows
T1218.010,Regsvr32,true,T1218,defense-evasion,Windows
T1218.011,Rundll32,true,T1218,defense-evasion,Windows
T1218.012,Verclsid,true,T1218,defense-evasion,Windows
T1218.013,Mavinject,true,T1218,defense-evasion,Windows
T1218.014,MMC,true,T1218,defense-evasion,Windows
T1218.015,Electron Applications,true,T1218,defense-evasion,"Linux,Windows,macOS"
T1219,Remote Access Tools,false,,command-and-control,"Linux,Windows,macOS"
T1219.001,IDE Tunneling,true,T1219,command-and-control,"Linux,Windows,macOS"
T1219.002,Remote Desktop Software,true,T1219,command-and-control,"Linux,Windows,macOS"
T1219.003,Remote Access Hardware,true,T1219,command-and-control,"Linux,Windows,macOS"
T1220,XSL Script Processing,false,,defense-evasion,Windows
T1221,Template Injection,false,,defense-evasion,Windows
T1222,File and Directory Permissions Modification,false,,defense-evasion,"ESXi,Linux,Windows,macOS"
T1222.001,Windows File and Directory Permissions Modification,true,T1222,defense-evasion,Windows
T1222.002,Linux and Mac File and Directory Permissions Modification,true,T1222,defense-evasion,"Linux,macOS"
T1480,Execution Guardrails,false,,defense-evasion,"ESXi,Linux,Windows,macOS"
T1480.001,Environmental Keying,true,T1480,defense-evasion,"Linux,Windows,macOS"
T1480.002,Mutual Exclusion,true,T1480,defense-evasion,"Linux,Windows,macOS"
T1482,Domain Trust Discovery,false,,discovery,Windows
T1484,Domain or Tenant Policy Modification,false,,"defense-evasion,privilege-escalation","Identity Provider,Windows"
T1484.001,Group Policy Modification,true,T1484,"defense-evasion,privilege-escalation",Windows
T1484.002,Trust Modification,true,T1484,"defense-evasion,privilege-escalation","Identity Provider,Windows"
T1485,Data Destruction,false,,impact,"Containers,ESXi,IaaS,Linux,Windows,macOS"
T1485.001,Lifecycle-Triggered Deletion,true,T1485,impact,IaaS
T1486,Data Encrypted for Impact,false,,impact,"ESXi,IaaS,Linux,Windows,macOS"
T1489,Service Stop,false,,impact,"ESXi,Linux,Windows,macOS"
T1490,Inhibit System Recovery,false,,impact,"Containers,ESXi,IaaS,Linux,Network Devices,Windows,macOS"
T1491,Defacement,false,,impact,"ESXi,IaaS,Linux,Windows,macOS"
T1491.001,Internal Defacement,true,T1491,impact,"ESXi,Linux,Windows,macOS"
T1491.002,External Defacement,true,T1491,impact,"IaaS,Linux,Windows,macOS"
T1495,Firmware Corruption,false,,impact,"Linux,Network Devices,Windows,macOS"
T1496,Resource Hijacking,false,,impact,"Containers,IaaS,Linux,SaaS,Windows,macOS"
T1496.001,Compute Hijacking,true,T1496,impact,"Containers,IaaS,Linux,Windows,macOS"
T1496.002,Bandwidth Hijacking,true,T1496,impact,"Containers,IaaS,Linux,Windows,macOS"
T1496.003,SMS Pumping,true,T1496,impact,SaaS
T1496.004,Cloud Service Hijacking,true,T1496,impact,SaaS
T1497,Virtualization/Sandbox Evasion,false,,"defense-evasion,discovery","Linux,Windows,macOS"
T1497.001,System Checks,true,T1497,"defense-evasion,discovery","Linux,Windows,macOS"
T1497.002,User Activity Based Checks,true,T1497,"defense-evasion,discovery","Linux,Windows,macOS"
T1497.003,Time Based Evasion,true,T1497,"defense-evasion,discovery","Linux,Windows,macOS"
T1498,Network Denial of Service,false,,impact,"Containers,IaaS,Linux,Windows,macOS"
T1498.001,Direct Network Flood,true,T1498,impact,"IaaS,Linux,Windows,macOS"
T1498.002,Reflection Amplification,true,T1498,impact,"IaaS,Linux,Windows,macOS"
T1499,Endpoint Denial of Service,false,,impact,"Containers,IaaS,Linux,Windows,macOS"
T1499.001,OS Exhaustion Flood,true,T1499,impact,"Linux,Windows,macOS"
T1499.002,Service Exhaustion Flood,true,T1499,impact,"IaaS,Linux,Windows,macOS"
